project_index,project_name,country,plant_year,project_type,project_function,pv_system,module_type,cell_type,transparency,extra_data,installed_power_kWp_,surface_area_m2,yield_kWh_per_A,specific_power_W_per_m2,color,texture,module_size,module_shape,cell_visibility,context,facade_ratio,orientation,inclination_degrees,type_of_integration,façade_composition_1,facade_composition_2,concept,module_orientation,ornamentation
1,Alan Gilbert Building,Australia,2001,New,Educational,Facade Glazing,-,-,Translucent,46 kWp,46,-,-,-,Black,Flat,Large,Rectangular,Yes,Urban,>0.5,N,80,Warm Facade,Homogeneous,Banner,Dominant,Vertical,No
2,K2 Apartments,Australia,2007,New,Residential,Facade Cladding,-,-,Opaque,22 kWp,22,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,<0.5,N,50,Rainscreen,Heterogeneous,Depth,Integration,Vertical,No
3,Active Energy Tower Fronius,Austria,2013,New,Office,Curtain wall,Monocrystalline,-,Translucent,"38.8 kWp, 630 m2, -",38.8,630,-,-,Black,Flat,Large,Rectangular,Yes,Urban,>0.5,All,90,Warm Facade,Homogeneous,Flat,Integration,Vertical,No
4,Genböch Bungalow Best Ager,Austria,2011,New,Residential,Unknown,Polycrystalline ,Poly,Opaque,2011;Swiss BIPV Competence Center;0,2.3,-,-,-,Blue,Flat,Large,Rectangular,Yes,Agglomeration,<0.5,SW,75,Rainscreen,Homogeneous,Flat,Dominant,Vertical,No
5,Dwelling Houses Spinnereistrasse,Austria,2003,-,Residential,Solar Control,-,-,Opaque,-,-,-,-,-,Blue,Flat,Large,Rectangular,No,Agglomeration,<0.5,E;S;W,90,Solar Control,Heterogeneous,Rhythmic,Integration,Vertical,No
6,EFH Lech am Arlberg,Austria,2013,New,Residential,Facade Security,Monocrystalline,Mono,Translucent,7.6 kWp,7.6,-,-,-,Grey,Flat,Standard,Rectangular,Yes,Rural,<0.5,S;W,90,Facade Security,Heterogeneous,Flat,Integration,Horizontal,No
7,Energiepark West,Austria,1996,-,-,Facade Cladding,Polycrystalline ,-,Opaque,150 m2,-,150,-,-,Blue,Flat,Large,Rectangular,-,Rural,1,S,90,-,Homogeneous,Rhythmic,Dominant,Vertical,No
8,ENERGYbase,Austria,2008,New,Office,Integrated,Monocrystalline,Mono,-,2008;IEA Case Studies;42416,46,400,37000,-,Blue,Flat,Standard,Rectangular,Yes,Industrial,>0.5,S,45,Warm Facade,Heterogeneous,ZigZag,Integration,Horizontal,No
9,Froniuswerk,Austria,2007,-,-,Facade Glazing,-,-,Translucent,608 kWp,608,-,-,-,Black,Flat,Standard,Rectangular,-,Rural,<0.5,S,90,-,Heterogeneous,Flat,Subordination,Horizontal,No
10,Haus Frick,Austria,1995,-,-,Facade Cladding,-,-,Opaque,0.4 kWp,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Kriegerhornbahn,Austria,2004,New,Public,Unknown,Monocrystalline,Mono,-,2004;Swiss BIPV Competence Center;8550,-,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Mountain,<0.5,SE;SW,90,Rainscreen,Heterogeneous,Flat,Subordination,Horizontal,No
12,Omicron Headquarter,Austria,2015,New,Office,Rainscreen,Monocrystalline,-,Opaque,"92 kWp,780 m2, 66000 kWh",92,780,66000,-,Blue,Flat,Standard,Rectangular,Yes,Rural,1,S,90,Rainscreen,Homogeneous,Rhythmic,Dominant,Vertical,Yes
13,Power Plant Dorferbach,Austria,2005,-,Industrial,Facade Cladding,-,-,Opaque,2.83 kWp,2.83,-,-,-,Green,Flat,Standard,Rectangular,Yes,Rural,<0.5,S,90,Rainscreen,Heterogeneous,Flat,Subordination,Vertical,No
14,Power Tower,Austria,2008,-,-,Facade Cladding,-,-,Opaque,66 kWp,66,700,42000,-,Blue,Flat,Large,Rectangular,Yes,Urban,>0.5,SW,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
15,Schiestlhaus,Austria,2005,-,-,Rainscreen,-,-,Opaque,-,-,-,-,-,Black,Flat,Standard,Rectangular,Yes,Mountain,<0.5,S,70,Attached,Heterogeneous,HighTech,Subjugation,Horizontal,No
16,SG Ennstal,Austria,2011,Retrofit,Office,Cold Facade,Polycrystalline ,-,Opaque,Urban;1.9 kWp;48 m2,1.9,48,-,-,Red,Flat,Custom,Rectangular,Yes,Urban,<0.5,S,90,Rainscreen,Heterogeneous,Grid,Integration,Mixed,No
17,SOL4-Eichkogel,Austria,2004,-,-,Facade Cladding,-,-,Opaque,28 kWp,28,-,-,-,Black,Flat,Custom,Square,Yes,Rural,<0.5,SE;SW,90,Rainscreen,Homogeneous,Grid,Integration,Centric,No
18,Sport- und Wellnessbad Eggenberg,Austria,2011,-,Public,Facade Cladding,-,-,Opaque,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,TROP,Austria,2004,-,-,Facade Cladding,-,-,Opaque,-,-,-,-,-,Blue,Flat,Standard,Square,Yes,Rural,1,SE;SW,90,Rainscreen,Homogeneous,Grid,Dominant,Centric,No
20,AGC Glass Europe Technovation Centre,Belgium,2014,-,Industrial,Facade Glazing,-,-,Translucent,19.37 kWp,19.37,-,-,-,Black,Flat,Large,Rectangular,Yes,Rural,0.5,S,90,Solar Control,Heterogeneous,Rhythmic,Dominant,Vertical,No
21,Euro Space Center,Belgium,2009,Retrofit,Public,Louvres Balcony,Polycrystalline ,-,Translucent,Urban;16 kWp ;5060 m2,16,5060,-,-,Blue,Flat,Small,Square,Yes,Rural,1,SE;SW,45,Solar Control,Heterogeneous,ZigZag,Dominant,Centric,No
22,Swimming pool,Belgium,2016,-,Educational,Facade Glazing,Monocrystalline,-,Translucent,-,-,-,-,-,Black,Flat,Custom,Rectangular,Yes,Agglomeration,>0.5,S,90,Warm Facade,Homogeneous,Flat,Integration,Vertical,No
23,The Treurenberg building,Belgium,2015,-,-,Facade Cladding,-,-,Opaque,122 kWp,122,-,-,-,Black,Flat,Custom,Rectangular,Yes,Urban,>0.5,E;S;W,90,Rainscreen,Homogeneous,Grid,Integration,Mixed,No
24,Zonnegevel Soltech fabriek,Belgium,2023,Retrofit,Industrial,"Facade,Ventilated Facade",Monocrystalline,-,Opaque,42;-;83;10.5;Kameleon Solar | Soltech | Limeparts Drooghmans;https://kameleonsolar.com | https://soltech.be/ | https://limeparts-drooghmans.be/;Colored;Custom;No,10.5,83,-,-,Print,Flat,Standard,Rectangular,No,Agglomeration,<0.5,S,90,Rainscreen,Homogeneous,Flat,Subordination,Horizontal,Yes
25,Cathedral of the Holy Family,Canada,2005,-,Public,Facade Glazing,-,-,Translucent,-,-,-,-,-,Multi,Flat,Custom,Rhomboid,Yes,Agglomeration,<0.5,S,90,Warm Facade,Heterogeneous,Ornament,Dominant,Centric,Yes
26,J&P Lougheed Performing Arts Centre,Canada,2014,New,Public,Rainscreen,Monocrystalline,Mono,Opaque,"242 kWp, 882 m2, 75000 kWh",242,882,75000,-,Black,Flat,Standard,Rectangular,Yes,Agglomeration,>0.5,S;W,90,Rainscreen,Homogeneous,Grid,Integration,Vertical,No
27,North house,Canada,2009,-,-,Facade Cladding,-,-,Opaque,13.6 kWp,13.6,-,-,-,Black,Glossy,Standard,Rectangular,Yes,Agglomeration,<0.5,All,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,No
28,True North/ Lux Nova,Canada,2007,-,-,Facade Glazing,-,-,Translucent,-,-,-,-,-,Blue,Flat,Custom,Rectangular,Yes,Agglomeration,>0.5,S,90,Warm Facade,Heterogeneous,Grid,Dominant,Horizontal,Yes
29,Expo 2010 German Pavillion,China,2010,New,Public,Facade Glazing,-,-,Translucent,16 kWp,16,-,-,-,Black,Flat,Custom,Rectangular,Yes,Urban,<0.5,-,90,Warm Facade,Heterogeneous,Sculptural,Integration,Horizontal,No
30,Green Pix Media Wall,China,2008,New,Public,Louvres Balcony,Polycrystalline ,-,Translucent,Urban;-;2200 m2,-,2200,-,-,Blue,Flat,Custom,Square,Yes,Urban,0.5,-,90,Rainscreen,Heterogeneous,Media,Dominant,Centric,Yes
31,Pearl River Tower,China,2008,-,Office,Solar Control,-,-,Opaque,-,-,-,-,-,-,-,Custom,-,-,Urban,<0.5,-,-,-,Homogeneous,-,-,-,No
32,Singyes Solar Office,China,2017,New,Office,Integrated,Monocrystalline,Mono,-,2017;IEA Case Studies;150311,-,-,-,-,Blue,Flat,Standard,Square,Yes,Industrial,0.5,S,45,Solar Control,Heterogeneous,ZigZag,Dominant,Centric,No
33,Aarhus Municipality Low-Energy Offices,Denmark,2010,-,Office,Solar Control,-,-,Opaque,170 m2,-,-,-,-,Black,Flat,Custom,Rectangular,Yes,Urban,<0.5,SW,45,Solar Control,Heterogeneous,Rhythmic,Integration,Horizontal,No
34,Copenhagen International,Denmark,2017,New,Office,Integrated,Monocrystalline,Mono,-,2017;IEA Case Studies;267500,700,6000,-,-,Blue,Satin,Custom,Square,No,Industrial,1,All,86,Rainscreen,Homogeneous,Rhythmic,Integration,Centric,No
35,Copenhagen towers hotel,Denmark,2009,-,Public,Facade Cladding,-,-,Opaque,-,-,1700,170000,-,Black,Flat,Standard,Rectangular,Yes,Agglomeration,>0.5,E;S;W,90,Rainscreen,Homogeneous,Flat,Integration,Horizontal,No
36,House of Music,Denmark,2014,-,Public,Solar Control,-,-,Translucent,-,-,-,-,-,Black,Flat,Custom,Triangular,Yes,Urban,<0.5,S,80,Solar Control,Heterogeneous,Sculptural,Integration,Centric,Yes
37,Slagelse Student Housing,Denmark,2017,Retrofit,Residential,Unknown,Monocrystalline,Mono,-,1970;IEA Case Studies;0,-,-,-,-,Black,Flat,Custom,Square,Yes,Agglomeration,<0.5,S,90,Facade Security,Heterogeneous,-,Subordination,Centric,No
38,Union National Bank,Egypt,2017,-,Office,Facade Glazing,Amorphous silicon,-,Transparent,20.6 kWp,20.6,439,-,28,Blue,Flat,Custom,Rectangular,No,Urban,1,S,90,Warm Facade,Heterogeneous,Grid,Subordination,Vertical,Yes
39,Bedzed,England,2002,New,Residential,Curtain wall,-,-,Translucent,-,-,-,-,-,Blue,Flat,Large,Square,Yes,Agglomeration,<0.5,SE,90,Warm Facade,Heterogeneous,Grid,Integration,Centric,No
40,Brunel University,England,2016,New,Educational,Facade Glazing,Amorphous silicon,-,Transparent,-,-,68,30000,-,-,Glossy,Custom,Rectangular,No,Urban,<0.5,S,90,Warm Facade,Heterogeneous,VertZigZag,Integration,Vertical,No
41,Cambridge Bidwell House,England,2018,New,Office,Facade Glazing,Amorphous silicon,-,Transparent,-,-,29,15500,-,-,Glossy,Large,Rectangular,No,Agglomeration,<0.5,S,90,Warm Facade,Heterogeneous,Rhythmic,Integration,Vertical,No
42,CIS Solar Tower,England,2006,Retrofit,Office,Facade Cladding,-,-,Opaque,391 kWp,575,-,180000,-,Blue,Flat,Large,Rectangular,Yes,Urban,>0.5,SE;SW;NW,90,Rainscreen,Homogeneous,Grid,Integration,Vertical,No
43,Leicester University Library,England,2007,-,Educational,Solar Control,-,-,Opaque,37 kWp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,London Castle Lane,England,2017,New,Residential,Rainscreen,Monocrystalline,-,Opaque,-,-,-,-,130,Black,Glossy,Standard,Rectangular,Yes,Urban,<0.5,SE;SW,90,Rainscreen,Homogeneous,Flat,Subordination,Vertical,No
45,Optic Technium,Wales,2003,New,Office,Cold Facade,Thin Film,-,Opaque,84.0 kWp;1000 m2,84,1000,-,-,Black,Satin,Small,Rectangular,No,Rural,1,S,75,Rainscreen,Homogeneous,Sculptural,Dominant,Horizontal,No
46,Zicer Building,England,2003,New,Office,"Pitched Roof,Warm Facade",Monocrystalline,-,Translucent,"Urban;27.2 kWp (roof), 6.7 kWp (facade) ;265 m2 (roof), 85 m2 (facade)",6.7,85,-,-,Blue,Flat,Standard,Rectangular,Yes,Agglomeration,<0.5,S,90,Warm Facade,Heterogeneous,Flat,Integration,Horizontal,No
47,Ales Tourist Office,France,2004,Retrofit,Office,Integrated,Polycrystalline ,Poly,-,1750;Swiss BIPV Competence Center;6000,9.6,100,-,-,Black,Flat,Standard,Rectangular,Yes,Historic,0.5,S,90,Rainscreen,Heterogeneous,Depth,Dominant,Horizontal,No
48,Cité du Design,France,2009,New,Public,Facade Glazing,Monocrystalline,-,Translucent,-,-,-,-,-,Black,Flat,Custom,Triangular,Yes,Historic,<0.5,E;W,90,Warm Facade,Heterogeneous,Skin,Integration,Centric,No
49,GDF Suez,France,2013,Retrofit,Office,Unknown,Monocrystalline,Mono,-,1973;Swiss BIPV Competence Center;0,85,1020,-,-,Black,Flat,Custom,Rectangular,Yes,Urban,1,S,90,Solar Control,Heterogeneous,Grid,Dominant,Mixed,No
50,La Cub,France,2011,New,Office,Rainscreen,Polycrystalline ,Poly,-,2011;Swiss BIPV Competence Center;0,40,350,-,-,Multi,Flat,Standard,Rectangular,Yes,Urban,>0.5,S,90,Rainscreen,Homogeneous,Ornament,Dominant,Vertical,Yes
51,MIBI – Montpellier International Business Incubator,France,2011,New,Office,Solar Control,Polycrystalline ,-,Translucent,-,-,696,-,-,Blue,Flat,Custom,Rectangular,Yes,Agglomeration,>0.5,S,90,Solar Control,Heterogeneous,Rhythmic,Dominant,Mixed,No
52,SDED Office building,France,2005,-,-,Solar Control,-,-,Opaque,14.5 kWp,14.5,-,-,-,Black,Flat,Standard,Rectangular,Yes,Agglomeration,0.5,S,45,Solar Control,Heterogeneous,ZigZag,Dominant,Horizontal,No
53,+E Kita Marburg,Germany,2013,New,Educational,Warm Facade,Monocrystalline,-,Opaque,Urban;55 kWp ;365 m2,55,365,-,-,Black,Glossy,Custom,Rectangular;Triangular,Yes,Urban,>0.5,S,90,Warm Facade,Heterogeneous,VertZigZag,Integration,Horizontal,No
54,"Academy of Further Education ""Mont-Cenis""",Germany,1999,New,Educational,Facade Glazing,-,-,Translucent,1000 kWp (with Roof),-,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Agglomeration,<0.5,SW,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
55,Active townhouse,Germany,2015,New,Public,Facade Cladding,-,-,Opaque,118 kWp,118,-,-,-,Blue,Glossy,Standard,Rectangular,Yes,Urban,0.5,SE,90,Rainscreen,Heterogeneous,Banner,Integration,Vertical,No
56,Audi Brand Experience Center,Germany,2019,New,Commercial,Curtain wall,Monocrystalline,-,Translucent,-,41,450,-,-,Black,Flat,Standard,Rectangular,Yes,Industrial,<0.5,S,90,Warm Facade;Solar Control,Heterogeneous,Grid,Integration,Horizontal,No
57,B.O.C. Bonneshof Office Center,Germany,2014,New,Office,Facade Cladding,Monocrystalline,-,Opaque,63 kWp,63,-,-,-,Black,Glossy,Large,Rectangular,Yes,Urban,0.5,E;S,90,Warm Facade,Heterogeneous,Rhythmic,Integration,Vertical,No
58,Böwe Cardtec,Germany,2003,New,Industrial,Integrated,Monocrystalline,Mono,Opaque,2003;Swiss BIPV Competence Center;0,9.65,80,-,-,Black,Flat,Standard,Rectangular,Yes,Rural,1,S,90,Warm Facade,Homogeneous,Grid,Dominant,Vertical,No
59,Elobau Factory 2,Germany,2012,Retrofit,Industrial,Louvres Balcony,Monocrystalline,-,Var.,Industrial;190 kWp (Roof); 52 kWp (FaCade) ;-,52,-,-,-,Black,Flat,Standard,Rectangular,Yes,Industrial,>0.5,S,50,Solar Control,Homogeneous,ZigZag,Dominant,Horizontal,No
60,EWE Arena,Germany,2006,New,Public,Solar Control,-,-,Opaque,14 kWp,14,-,21800,-,Black,Flat,Standard,Rectangular,Yes,Urban,<0.5,Moving,90,Solar Control,Homogeneous,HighTech,Dominant,Vertical,No
61,Ferdinand Braun Institute,Germany,2007,New,Office,Rainscreen,Thin Film,CIS,Opaque,2007;Swiss BIPV Competence Center;0,39,640,-,-,Black,Flat,Small,Rectangular,No,Urban,>0.5,SW,80,Rainscreen,Homogeneous,HighTech,Dominant,Horizontal,No
62,Fraunhofer ISE,Germany,2004,-,Educational,Facade Cladding,-,-,Opaque,4 kWp,4,-,-,-,Blue,Flat,Custom,Rectangular,Yes,Urban,<0.5,SW,90,Rainscreen,Heterogeneous,Grid,Subordination,Centric,No
63,Freiburg City Hall,Germany,2017,New,Office,Solar Control,-,-,-,-;216;0;557400;0,216,-,557400,-,Black,Flat,Custom,Rectangular,Yes,Urban,0.5,S,90,Solar Control,Heterogeneous,VertZigZag,Integration,Vertical,No
64,Hauptbahnhof,Germany,2003,-,Public,Facade Cladding,-,-,Opaque,180 kWp,180,-,-,-,Black,Flat,Standard,Rectangular,Yes,-,0.5,-,90,Rainscreen,Heterogeneous,Flat,Subjugation,Horizontal,No
65,Haus der Zukunft,Germany,2009,-,Residential,Facade Cladding,-,-,Opaque,55 m2,-,55,-,-,Black,Flat,Large,Polygonal,Yes,Rural,0.5,-,80,Rainscreen,Heterogeneous,HighTech,Integration,Mixed,No
66,Haus F87,Germany,2011,-,Residential,Facade Cladding,-,-,Opaque,-,-,-,-,-,Black,Glossy,Standard,Rectangular,No,Urban,1,E;W,90,Rainscreen,Homogeneous,Skin,Integration,Horizontal,No
67,Hochregallager Ernsting's family,Germany,2014,-,Industrial,Solar Control,-,-,Translucent,-,-,-,-,-,Black,Flat,Standard,Rectangular,-,Industrial,>0.5,SE;SW,30,Solar Control,Homogeneous,ZigZag,Integration,Horizontal,No
68,Home +,Germany,2009,-,-,Facade Cladding,-,-,Opaque,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,Juwi Verwaltungsgebäude,Germany,2004,-,Office,Facade Cladding,-,-,Opaque,10 kWp,10,-,-,-,Black,Flat,Standard,Rectangular,-,Rural,<0.5,S,90,Attached,Heterogeneous,Banner,Subjugation,Vertical,No
70,Leitec Firmengebäude,Germany,2011,New,Office,Facade Cladding,-,-,Opaque,-,118,1200,100000,-,Black,Flat,Standard,Rectangular,-,Agglomeration,1,S,34,Rainscreen,Homogeneous,Flat,Dominant,Horizontal,No
71,MIP Bad Kreuznach,Germany,2015,New,Office,Warm Facade,Monocrystalline,Mono,Translucent,"25 kWp, 221 m2, 14000 kWh",25,221,14000,-,Black,Flat,Large,Rectangular,Yes,Urban,0.5,S,90,Rainscreen,Heterogeneous,Banner,Integration,Vertical,No
72,New Hall 3 RP Technik,Germany,2008,Retrofit,Industrial,Warm Facade,Thin Film,-,Transparent,Urban;8.4 kWp;120,8.4,120,3460,-,Black,Flat,Large,Rectangular,No,Industrial,>0.5,E,90,Warm Facade,Heterogeneous,Grid,Integration,Vertical,No
73,Office Building Bauerfeind AG,Germany,2004,-,Office,Solar Control,Polycrystalline ,-,Opaque,34 kWp,34,-,-,-,Blue,Flat,Large,Square,Yes,Industrial,>0.5,SW,90,Rainscreen,Homogeneous,Grid,Integration,Centric,No
74,Office building in Mannheim,Germany,2018,New,Office,"Warm Facade,Skylight",Monocrystalline,-,Translucent,"33 kWP, 320 m2, -",33,320,-,-,Black,Flat,Custom,Polygonal,Yes,-,<0.5,SW,90,Warm Facade,Heterogeneous,Depth,Integration,Mixed,No
75,Paul Horn Arena,Germany,2004,New,Public,Unknown,Polycrystalline ,Poly,Opaque,2004;Swiss BIPV Competence Center;30000,43,530,-,-,Green,Flat,Standard,Rectangular,Yes,Agglomeration,1,SW,90,Rainscreen,Heterogeneous,Grid,Dominant,Vertical,No
76,Photovoltaic pavillion,Germany,2011,-,Public,Facade Glazing,Thin Film,-,Transparent,7.8 kWp,7.8,-,-,-,Black,Flat,Large,Rectangular,No,Agglomeration,0.5,All,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
77,School in Landshut,Germany,2009,Retrofit,Educational,Rainscreen,Polycrystalline ,Poly,Opaque,1960;Swiss BIPV Competence Center;0,8,78,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,>0.5,S,90,Rainscreen,Homogeneous,Grid,Dominant,Horizontal,No
78,Siloturm Schapfenmühle,Germany,2004,-,-,Solar Control,-,-,Translucent,97 kWp,97,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Industrial,>0.5,S,90,Rainscreen,Heterogeneous,Flat,Subjugation,Vertical,No
79,Solar Tower Hauptbahnhof,Germany,1999,-,Public,Facade Cladding,Polycrystalline ,-,Opaque,34 kWp,34,-,24000,-,Blue,Flat,Standard,Rectangular,Yes,Urban,<0.5,S,90,Rainscreen,Heterogeneous,Grid,Integration,Horizontal,No
80,Stadtwerke Konstanz,Germany,2011,New,Office,"Warm Facade,Glass Roof",Monocrystalline,Mono,Opaque,2011;Swiss BIPV Competence Center;0,24.5,495,-,-,Blue,Flat,Custom,Rectangular,Yes,Urban,<0.5,S,90,Rainscreen,Heterogeneous,Grid,Subjugation,Mixed,No
81,Tobias Grau Lighting GmbH,Germany,2001,New,Industrial,Warm Facade,Monocrystalline,-,Translucent,-;10.05 kWp ;179 m2 ,10,179,-,-,Black,Flat,Large,Rectangular,Yes,Industrial,>0.5,S,90,Warm Facade,Heterogeneous,Grid,Dominant,Horizontal,No
82,Tourist Information Centre,Germany,2000,New,Office,Solar Control,Polycrystalline ,-,Translucent,9 kWp,9,-,-,-,Black,Flat,Small,Rectangular,Yes,Urban,<0.5,S,10,Solar Control,Heterogeneous,Banner,Integration,Horizontal,No
83,Turnhalle Burgweinting,Germany,2004,New,Public,Facade Glazing,-,-,Translucent,10 kWp,10,-,-,-,Black,Flat,Standard,Rectangular,Yes,Urban,>0.5,SE,90,Warm Facade;Solar Control,Heterogeneous,Banner,Integration,Horizontal,No
84,UBA building extension,Germany,2017,-,Office,Facade Cladding,-,-,Opaque,-,74.7,-,-,-,Black,Flat,Custom,Rectangular,No,Urban,0.5,All,75,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
85,Weather House,Germany,2015,New,Office,Rainscreen,Monocrystalline,Mono,Opaque,"16 kWp, 210 m2, 8600 kWh",16,210,8600,-,Black,Glossy,Standard,Rectangular,Yes,Agglomeration,1,SW,90,Rainscreen,Homogeneous,Depth,Integration,Horizontal,No
