project_index,project_name,country,plant_year,project_type,project_function,pv_system,module_type,cell_type,transparency,extra_data,installed_power_kWp_,surface_area_m2,yield_kWh_per_A,specific_power_W_per_m2,color,texture,module_size,module_shape,cell_visibility,context,facade_ratio,orientation,inclination_degrees,type_of_integration,façade_composition_1,facade_composition_2,concept,module_orientation,ornamentation
319,Lehner Versand,Switzerland,-,Retrofit,Industrial,"Facade,Ventilated Facade",-,-,Opaque,"109.3kWp, 866m2",109.3,866,-,-,Blue,Satin,Small,Square,No,Agglomeration,<0.5,All,85,Rainscreen,Heterogeneous,Grid,Dominant,Centric,No
320,Bundesallee 215,Germany,2021,New,Multifunctional,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"3.8kWp, 25m2",3.8,25,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,<0.5,E;W,90,Rainscreen,Heterogeneous,Depth,Integration,Vertical,No
321,OTH Regensburg,Germany,2023,Retrofit,Institutional,Rainscreen,Monocrystalline,Mono,Opaque,"50kWp, 330m2",50,330,-,-,Black,Flat,Standard,Rectangular,Yes,Urban,0.5,S;W,90,Solar Control,Heterogeneous,HighTech,Dominant,Horizontal,No
322,PlanQuartier,Austria,2022,New,Office,Warm Facade,Monocrystalline,Mono,Translucent,"45kWp, 397m2",45,397,-,-,Black,Flat,Standard,Rectangular,Yes,Industrial,>0.5,E;S,90,Warm Facade,Heterogeneous,Flat,Integration,Vertical,No
323,0 Fahrradparkhaus,Germany,2021,New,Public,Facade Glazing,Monocrystalline,Mono,Translucent,"25kWp, 221m2, 14000kWh/a",25,221,14000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
324,Erlanger Stadtwerke,Germany,2024,Retrofit,Industrial,Facade Cladding,Organic photovoltaic,-,Opaque,"3.6kWp, 86m2",3.6,86,-,-,Purple,Flat,Standard,Rectangular,No,Industrial,<0.5,SW,90,Attached,Heterogeneous,Grid,Subjugation,Horizontal,No
325,Siemens Energy Transformatorenwerk,Germany,2023,Retrofit,Industrial,Facade Cladding,Organic photovoltaic,-,Opaque,"8.6kWp, 137m2",8.6,137,-,-,Purple,Flat,Standard,Rectangular,No,Industrial,<0.5,S,90,Attached,Heterogeneous,-,Subjugation,Horizontal,No
326,SAIT,South Korea,2023,Retrofit,Industrial,Facade Cladding,Organic photovoltaic,-,Opaque,"37.7kWp, 621m2",37.7,621,-,-,Purple,Flat,Standard,Rectangular,No,Industrial,>0.5,SE;SW,90,Attached,Heterogeneous,Grid,Subjugation,Horizontal,No
327,Engie Laborelec,Belgium,2017,Retrofit,Institutional,Facade Cladding,Organic photovoltaic,-,Opaque,"2.3kWp, 53m2",2.3,53,-,-,Purple,Flat,Standard,Rectangular,No,Agglomeration,>0.5,S,90,Attached,Heterogeneous,Grid,Subjugation,Horizontal,No
328,Plus Ultra,Netherlands,2024,New,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"202kWp, 1161m2",202,1161,-,-,Black,Flat,Custom,Rectangular,No,Urban,>0.5,SE;SW,90,Rainscreen,Heterogeneous,VertZigZag,Dominant,Vertical,No
329,Somerparc aan de Amstel,Netherlands,2023,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"100kWp, 563m2",100,563,-,-,Black,Satin,Custom,Rectangular,No,Urban,>0.5,S,90,Rainscreen,Heterogeneous,Depth,Subordination,Vertical,No
330,MFH Thalwil,Switzerland,2023,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"53kWp, 280m2",53,280,-,-,Black,Satin,Custom,Rectangular,No,Urban,>0.5,E,90,Rainscreen,Heterogeneous,Depth,Integration,Mixed,No
331,Erlebnissennerei Zillertal,Austria,2023,New,Industrial,Facade Cladding,Monocrystalline,Mono,Opaque,"126kWp, 591m2",126,591,-,-,Black,Flat,Standard,Rectangular,No,Rural,>0.5,S;W,90,Attached,Heterogeneous,-,Subjugation,Horizontal,No
332,Jumbo Sissach,Switzerland,2023,New,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"93kWp, 497m2",93,497,-,-,Black,Flat,Standard,Rectangular,No,-,>0.5,-,90,Rainscreen,Heterogeneous,Grid,Integration,Vertical,No
333,Haus B4,Switzerland,2022,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"253kWp, 1272m2",253,1272,-,-,Black,Flat,Standard,Rectangular,Yes,Agglomeration,0.5,All,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,No
334,MFH Meilen,Switzerland,2022,Retrofit,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"41kWp, 308m2",41,308,-,-,Green,Flat,Custom,Rectangular,No,Urban,1,-,90,Rainscreen,Heterogeneous,Depth,Integration,Mixed,No
335,Hotel Rosveld,Netherlands,2022,New,Public,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"66kWp, 371m2",66,371,-,-,Black,Glossy,Custom,Rectangular,No,Agglomeration,>0.5,SE,90,Rainscreen,Heterogeneous,Grid,Dominant,Vertical,No
336,Spital Schwyz,Switzerland,2022,New,Hospital,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"96kWp, 718m2",96,718,-,-,Red,Flat,Small,Square,No,Agglomeration,>0.5,All,90,Rainscreen,Heterogeneous,Banner,Integration,Centric,No
337,MFH Thalwil 2,Switzerland,2021,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"22kWp, 144m2",22,144,-,-,Green,Structured,Custom,Rectangular,No,Urban,>0.5,All,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Horizontal,No
338,Albiro Filiale,Switzerland,2023,New,Industrial,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,30kWp,30,-,-,-,Black,Flat,Standard,Rectangular,No,Agglomeration,<0.5,SE;SW,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,No
339,EFH Hinwil,Switzerland,2023,Retrofit,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,9.4kWp,9.4,-,-,-,Black,Flat,Custom,Mixed,No,Agglomeration,>0.5,-,90,Rainscreen,Heterogeneous,-,Integration,Horizontal,No
340,MFH Zürich Altstetten,Switzerland,-,Retrofit,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,20kWp,20,-,-,-,Black,Flat,Standard,Rectangular,Yes,Urban,<0.5,All,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,No
341,Swiss Krono,Switzerland,2016,New,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,103kWp,103,-,-,-,Black,Flat,Custom,Rectangular,Yes,Industrial,1,All,90,Rainscreen,Heterogeneous,Grid,Integration,Mixed,No
342,Pfadihaus Einsiedeln,Switzerland,-,Retrofit,Public,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,5.9kWp,5.9,-,-,-,Black,Flat,Custom,Mixed,Yes,Agglomeration,>0.5,S,90,Rainscreen,Heterogeneous,-,Dominant,Horizontal,No
343,Regionbank Solothurn,Switzerland,2021,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,253m2,-,253,-,-,Bronze,Flat,Standard,Rectangular,No,Historic,1,SE,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,No
344,Vantage Data Centers,Switzerland,2021,New,Industrial,Facade Cladding,Monocrystalline,Mono,Opaque,"66kWp, 337m2",66,337,-,-,Black,Flat,Standard,Rectangular,Yes,Industrial,>0.5,S,90,Attached,Heterogeneous,Rhythmic,Dominant,Vertical,No
345,Überbauung Soley ,Switzerland,2020,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,2000m2,-,2000,-,-,Bronze,Flat,Custom,Rectangular,No,Agglomeration,1,All,90,Rainscreen,Heterogeneous,-,Integration,Horizontal,No
346,Wohnsiedlung Allschwil,Switzerland,2020,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"203000kWh/a, 2500m2",-,2500,203000,-,Black,Flat,Custom,Rectangular,No,Urban,1,All,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
347,EBZ Elektro-Bildungs-Zentrum ,Switzerland,2021,New,Educational,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,-,-,-,-,Black,Flat,Custom,Rectangular,No,Industrial,<0.5,All,90,Rainscreen,Heterogeneous,Banner,Integration,Vertical,No
348,Kantonsspital Baden,Switzerland,2020,Retrofit,Hospital,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"26kWp, 133m2",26,133,-,-,Black,Flat,Standard,Rectangular,Yes,Industrial,<0.5,S,90,Rainscreen,Heterogeneous,Flat,Subordination,Horizontal,No
349,MFH Orpund ,Switzerland,2019,Retrofit,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"6kWp, 35m2",6,35,-,-,Blue,Flat,Standard,Rectangular,No,Agglomeration,0.5,SE,90,Rainscreen,Heterogeneous,-,Integration,Horizontal,No
350,EFH Jakobsbad,Switzerland,2019,Retrofit,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,-,-,-,-,Green,Flat,Standard,Rectangular,No,Rural,<0.5,S,90,Rainscreen,Heterogeneous,-,Integration,Horizontal,No
351,Basler & Hofmann AG Luzern,Switzerland,2019,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,-,-,-,-,Black,Flat,Small,Rectangular,No,Industrial,0.5,All,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
352,Office L10,Switzerland,2019,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,-,-,-,-,Black,Flat,Small,Square,No,Urban,0.5,SE,90,Rainscreen,Heterogeneous,Grid,Integration,Centric,No
353,MFH Ostermundigen,Switzerland,2018,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,-,-,-,-,Grey,Flat,Custom,Rectangular,No,Agglomeration,1,-,90,Rainscreen,Heterogeneous,-,Integration,Vertical,No
354,KraftWerk,Switzerland,2018,New,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,138kWp,138,-,-,-,Black,Flat,Standard,Rectangular,Yes,Rural,0.5,All,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
355,Green Datacenter Zürich-West,Switzerland,2014,New,Industrial,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,140kWp,140,-,-,-,Black,Flat,Standard,Rectangular,Yes,Industrial,>0.5,S,90,Rainscreen,Homogeneous,Grid,Dominant,Vertical,No
356,Eco-Solar,Switzerland,2017,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Translucent,42kWp,42,-,-,-,Black,Flat,Standard,Rectangular,Yes,Agglomeration,1,All,90,Rainscreen,Heterogeneous,Grid,Dominant,Vertical,No
357,0 SBB Cargo,Switzerland,2016,New,Industrial,Rainscreen,Monocrystalline,Mono,Translucent,80kWp,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
358,Max Office Building,Netherlands,2022,New,Office,"Facade,Ventilated Facade",-,-,Opaque,"150kWp, 110000kWh/a, 1400m2",150,1400,110000,-,Black,Flat,Standard,Rectangular,No,Urban,1,All,90,Rainscreen,Heterogeneous,Banner,Integration,Vertical,No
359,Moore Office Building,Netherlands,2022,New,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,-,-,-,-,White,Flat,Custom,Mixed,No,Urban,1,All,Var.,Rainscreen,Heterogeneous,Depth,Dominant,Mixed,No
360,0 MFH Buochs,Switzerland,2021,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"14kWp, 44m2 ",14,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
361,Sofienberg School,Norway,2021,New,Educational,Facade Cladding,Monocrystalline,Mono,Opaque,150m2,-,150,-,-,Red,Flat,Custom,Rectangular,No,Urban,>0.5,SW,90,Attached,Heterogeneous,Grid,Integration,Vertical,No
362,Orkla City,Norway,2019,New,Office,Facade Security,Monocrystalline,Mono,Translucent,35m2,-,35,-,-,Black,Flat,Custom,Rectangular,Yes,Urban,<0.5,S;W,90,Facade Security,Heterogeneous,Banner,Integration,Horizontal,No
363,Seewasserwerk Frasnacht,Switzerland,2020,Retrofit,Industrial,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"17.8kWp, 130m2, 8500kWh",17.8,130,8500,-,Print,Flat,Large,Rectangular,No,Rural,<0.5,SW,90,Rainscreen,Heterogeneous,Flat,Imitation,Vertical,Yes
364,ParkTown,Lithuania,2017,New,Office,Facade Cladding,Monocrystalline,Mono,Opaque,7700m2,-,7700,-,-,Black,Flat,Small,Rectangular,No,Urban,<0.5,S;W,90,Warm Facade,Heterogeneous,Rhythmic,Integration,Vertical,No
365,EileenHouse,United Kingdom,2017,New,Multifunctional,Warm Facade,Monocrystalline,Mono,-,"56kWp, 325m2",56,325,-,-,Black,Flat,-,Rectangular,-,Urban,<0.5,W,90,-,Heterogeneous,Grid,Integration,Horizontal,No
366,Windhondflat,Netherlands,2024,Retrofit,Residential,ZigZag,-,-,Opaque,"17.8kWp, 19000kWh/a",17.8,-,19000,-,Black,Flat,Small,Rectangular,Yes,Agglomeration,>0.5,-,30,Rainscreen,Heterogeneous,ZigZag,Dominant,Horizontal,Yes
367,0 Verstegen Spices & Sauces,Netherlands,2024,Retrofit,Office,ZigZag,-,-,Opaque,"135,3kWp, 100000kWh/a",135.3,-,100000,-,Black,Flat,Small,Rectangular,Yes,Industrial,>0.5,SE;SW,30,Rainscreen,Heterogeneous,ZigZag,Dominant,Horizontal,No
368,0 Gymzaal Rodaristraat,Netherlands,2024,Retrofit,Sport,ZigZag,-,-,Opaque,"3.6kWp, 3000kWh/a",3.6,-,3000,-,Black,Flat,Small,Rectangular,Yes,Urban,<0.5,S,30,Rainscreen,Heterogeneous,ZigZag,Dominant,Horizontal,Yes
369,Nijestee Apartments,Netherlands,2023,Retrofit,Residential,Facade Cladding,Monocrystalline,Mono,Opaque,"164m2, 18000kWh/a",-,164,180000,-,Black,Flat,Standard,Rectangular,No,-,>0.5,-,90,Attached,Heterogeneous,-,Dominant,Horizontal,No
370,MITARBEITERHAUS „ZAMANG“,Austria,2023,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"79m2, 10000kWh/a",-,79,10000,-,Black,Flat,Standard,Rectangular,No,Agglomeration,>0.5,SW,90,Rainscreen,Heterogeneous,Flat,Integration,Vertical,No
371,Grünenfelder,Switzerland,2022,New,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"89m2, 14000kWh/a",-,89,14000,-,Black,Flat,Standard,Rectangular,No,Agglomeration,<0.5,SW,90,Rainscreen,Heterogeneous,Sculptural,Subordination,Horizontal,No
372,Neoom - Free City,Austria,2023,New,Office,Rainscreen,Monocrystalline,Mono,Opaque,"176kWp, 1165m2, 106500kWh/a",176,1165,106500,-,Black,Glossy,Standard,Rectangular,No,Industrial,>0.5,All,90,Rainscreen;Double Skin,Heterogeneous,Grid,Dominant,Horizontal,No
373,CKW Datacenter,Switzerland,2022,New,Industrial,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"198kWp, 1162m2, 111000kWh/a",198,1162,111000,-,Black,Flat,Standard,Rectangular,No,Industrial,1,All,90,Rainscreen,Homogeneous,Flat,Integration,Horizontal,No
374,MBR Solar,Switzerland,2022,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"47kWp, 330m2, 32000kWh/a",47,330,32000,-,Multi,Flat,Custom,Rectangular,No,Urban,<0.5,W;S,90,Rainscreen,Heterogeneous,Flat,Integration,Mixed,No
375,Centraal Boekhuis,Netherlands,2022,New,Industrial,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"135kWp, 834m2, 94000kWh/a",135,834,94000,-,Multi,Flat,Standard,Rectangular,No,Industrial,<0.5,SE;SW,90,Rainscreen,Heterogeneous,Banner,Integration,Vertical,No
376,MFH Zollikerberg Three in One,Switzerland,2018,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"6.7kWp, 70m2, 13700kWh/a (with Roof)",6.7,70,-,-,Black,Flat,Custom,Rectangular,No,Agglomeration,0.5,S,90,Rainscreen,Heterogeneous,Depth,Integration,Horizontal,No
377,Haus der Schönheit,Switzerland,2012,Retrofit,Office,Warm Facade,Monocrystalline,Mono,Opaque,"16.8kWp, 135m2",16.8,135,-,-,Black,Flat,Small,Rectangular,Yes,Urban,0.5,All,90,Warm Facade,Heterogeneous,Rhythmic,Integration,Horizontal,No
378,Steinauer Solarhalle,Switzerland,2013,New,Industrial,Warm Facade,Monocrystalline,Mono,Translucent,"18.5kWp, 130m2",18.5,130,-,-,Black,Flat,Standard,Rectangular,Yes,Industrial,>0.5,All,Var.,Warm Facade,Heterogeneous,Grid,Integration,Horizontal,No
379,ETH Zürich,Switzerland,2023,Retrofit,Institutional,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"22kWp, 370m2",22,370,-,-,Black,Flat,Custom,Rectangular,Yes,Agglomeration,<0.5,S,90,Warm Facade,Heterogeneous,Rhythmic,Subordination,Vertical,No
380,WC Bielerhöhe,Austria,-,New,Public,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"3kWp, 32m2",3,32,-,-,Black,Glossy,Custom,Rectangular,Yes,Rural,1,All,90,Rainscreen,Homogeneous,Flat,Dominant,Horizontal,No
381,MFH Schaan,Liechtenstein,-,New,Residential,"Facade,Ventilated Facade, Facade Security",Monocrystalline,Mono,Opaque,"12.3kWp, 109m2",12.3,109,-,-,Black,Flat,Custom,Rectangular,Yes,Agglomeration,<0.5,-,90,Facade Security,Heterogeneous,Banner,Integration,Horizontal,No
382,BEIT HAVERED,Israel,2024,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,74.4,600,-,124,White,Flat,Custom,Rectangular,No,Urban,1,S,90,Rainscreen,Heterogeneous,Banner,Integration,Mixed,No
383,GIOIA 22,Italy,2021,New,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,800,6000,-,158,Black,Flat,Custom,Rectangular,No,Urban,0.5,E;S;W,90,Warm Facade,Homogeneous,Banner,Integration,Mixed,No
384,Science Pyramid,United States,2014,New,Public,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,-,-,-,100,Black,Flat,Small,Polygonal,Yes,Agglomeration,0.5,All,45,Rainscreen,Homogeneous,Skin,Integration,Centric,No
385,Sterling Bank,Nigeria,2023,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,955,6500,420000,159,Black,Flat,Custom,Rectangular,Yes,Urban,>0.5,SW,90,Rainscreen,Homogeneous,Flat,Integration,Horizontal,No
386,Edificio D4,Spain,2023,New,Educational,Solar Control,Monocrystalline,Mono,Translucent,-,110,1000,-,108,Black,Flat,Custom,Rectangular,Yes,Urban,>0.5,SE,90,Solar Control,Heterogeneous,HighTech,Dominant,Vertical,No
387,VI CASTLE LANE,United Kingdom,2017,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,-,-,-,130,Black,Glossy,Standard,Rectangular,Yes,Urban,<0.5,-,-,Rainscreen,Heterogeneous,Dynamic,Subordination,Horizontal,No
388,Westmead Car Park,Australia,2024,New,Public,Rainscreen,Monocrystalline,Mono,Opaque,-,-,-,-,123,Brown,Flat,Custom,Rectangular,No,Urban,<0.5,NE,90,Rainscreen,Heterogeneous,Dynamic,Integration,Vertical,Yes
389,Sea Towers,Spain,2021,New,Office,Warm Facade,Amorphous silicon,a-Si,Transparent,-,52,1520,-,34,Black,Flat,Large,Rectangular,No,Urban,<0.5,SE;SW,90,Warm Facade,Heterogeneous,Rhythmic,Integration,Vertical,No
390,Technology Center CIU,Cyprus,2022,New,Educational,Rainscreen,Amorphous silicon,a-Si,Transparent,-,62,1000,-,62,Black,Flat,Custom,Rectangular,No,Agglomeration,1,S,60,Solar Control,Heterogeneous,HighTech,Dominant,Horizontal,No
391,Smart 22@,Spain,2023,New,Office,Rainscreen,Amorphous silicon,a-Si,Transparent,-,45,1000,-,45,Black,Flat,Custom,Rectangular,No,Urban,<0.5,SE,90,Warm Facade,Heterogeneous,Grid,Integration,Horizontal,No
392,Castellana 66,Spain,2022,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,-,-,-,120,Black,Flat,Custom,Mixed,Yes,Urban,<0.5,SW,90,Rainscreen,Heterogeneous,Grid,Integration,Mixed,No
393,Heilig Geist Church,Switzerland,2021,New,Public,Solar Control,Monocrystalline,Mono,Translucent,-,12.1,130,12000,-,Black,Flat,Custom,Rectangular,Yes,Agglomeration,<0.5,-,-,Solar Control,-,-,-,-,No
394,UniMail University of Neuchatel,Switzerland,2021,Retrofit,Public,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,150,910,55000,-,Black,Flat,Small,Rectangular,Yes,Urban,1,All,90,Rainscreen,Heterogeneous,Flat,Integration,Horizontal,No
395,Route de Berne 2 ,Switzerland,2021,Retrofit,Residential,"Facade,Ventilated Facade",Polycrystalline ,Poly,Opaque,-,30,263,13000,-,Green,Flat,Large,Rectangular,Yes,Urban,<0.5,All,90,Rainscreen,Heterogeneous,Rhythmic,Dominant,Vertical,No
396,EPFL DataCenter,Switzerland,2021,New,Industrial,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,200,1330,90000,-,Multi,Flat,Standard,Rectangular,Yes,Urban,1,All,90,Rainscreen,Homogeneous,Grid,Integration,Horizontal,No
397,MFH Lacheren Schlieren,Switzerland,2024,New,Residential,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-,17,105,-,-,Gold,Metallic,Custom,Rectangular,No,Urban,>0.5,-,90,Rainscreen,Heterogeneous,Depth,Integration,Horizontal,No
398,Active Energy Building,Liechtenstein,2017,New,Residential,"Facade,Ventilated Facade",Polycrystalline ,Poly,Opaque,-,32.3,-,37250,-,Bronze,Flat,Custom,Rectangular,Yes,Urban,<0.5,E;S,Var.,Rainscreen;Facade Security,Heterogeneous,HighTech,Integration,Horizontal,No
399,Verkehrsstützpunkt Kantonspolizei,Switzerland,2024,New,Office,Solar Control,Monocrystalline,Mono,Opaque,total 162kWp,116,-,120000,-,Black,Flat,Custom,Rectangular,Yes,Urban,>0.5,All,Var.,Solar Control,Heterogeneous,Rhythmic,Dominant,Horizontal,No
400,Endesa Pavilion,Spain,2011,New,Institutional,Solar Control,Amorphous silicon,a-Si,Opaque,-,-,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Industrial,0.5,SE;SW,Var.,Solar Control,Heterogeneous,Dynamic,Dominant,Horizontal,No